fips,municipio,x_long,y_lat
72001,Adjuntas,-66.754,18.180
72003,Aguada,-67.175,18.360
72005,Aguadilla,-67.121,18.460
72007,Aguas Buenas,-66.127,18.251
72009,Aibonito,-66.264,18.131
72013,Arecibo,-66.675,18.407
72015,Arroyo,-66.056,17.998
72011,Anasco,-67.120,18.288
72017,Barceloneta,-66.560,18.445
72019,Barranquitas,-66.310,18.202
72021,Bayamon,-66.168,18.350
72023,Cabo Rojo,-67.154,18.042
72025,Caguas,-66.051,18.212
72027,Camuy,-66.860,18.419
72029,Canovanas,-65.888,18.329
72031,Carolina,-65.957,18.375
72033,Catano,-66.144,18.438
72035,Cayey,-66.149,18.103
72037,Ceiba,-65.667,18.252
72039,Ciales,-66.516,18.289
72041,Cidra,-66.161,18.174
72043,Coamo,-66.360,18.097
72045,Comerio,-66.222,18.225
72047,Corozal,-66.328,18.304
72049,Culebra,-65.287,18.316
72051,Dorado,-66.278,18.437
72053,Fajardo,-65.668,18.318
72054,Florida,-66.560,18.373
72057,Guayama,-66.134,18.008
72059,Guayanilla,-66.792,18.041
72061,Guaynabo,-66.114,18.343
72063,Gurabo,-65.979,18.266
72065,Hatillo,-66.796,18.411
72067,Hormigueros,-67.114,18.134
72069,Humacao,-65.810,18.145
72071,Isabela,-67.005,18.450
72073,Jayuya,-66.588,18.211
72075,Juana Diaz,-66.495,18.051
72077,Juncos,-65.909,18.224
72079,Lajas,-67.040,18.012
72081,Lares,-66.867,18.269
72083,Las Marias,-66.983,18.237
72085,Las Piedras,-65.869,18.187
72087,Loiza,-65.899,18.426
72089,Luquillo,-65.725,18.342
72091,Manati,-66.490,18.420
72093,Maricao,-66.942,18.172
72095,Maunabo,-65.922,18.018
72097,Mayaguez,-67.112,18.211
72099,Moca,-67.081,18.378
72101,Morovis,-66.420,18.317
72103,Naguabo,-65.754,18.231
72105,Naranjito,-66.253,18.288
72107,Orocovis,-66.434,18.215
72109,Patillas,-66.013,18.032
72111,Penuelas,-66.721,18.061
72113,Ponce,-66.614,18.060
72115,Quebradillas,-66.926,18.440
72117,Rincon,-67.232,18.335
72119,Rio Grande,-65.814,18.346
72123,Salinas,-66.256,18.011
72127,San Juan,-66.061,18.387
72129,San Lorenzo,-65.976,18.148
72131,San Sebastian,-66.971,18.329
72133,Santa Isabel,-66.389,17.995
72135,Toa Alta,-66.246,18.363
72137,Toa Baja,-66.214,18.431
72139,Trujillo Alto,-65.999,18.336
72141,Utuado,-66.702,18.271
72143,Vega Alta,-66.337,18.409
72145,Vega Baja,-66.398,18.428
72147,Vieques,-65.441,18.123
72149,Villalba,-66.473,18.128
72151,Yabucoa,-65.897,18.071
72153,Yauco,-66.859,18.080
72055,Guanica,-66.920,17.983
72125,San German,-67.038,18.111
72121,Sabana Grande,-66.944,18.083
