Municipio,An~o,Poblacion
Adjuntas,1899,19484
Adjuntas,1910,16954
Adjuntas,1920,17988
Adjuntas,1930,18075
Adjuntas,1935,19510
Adjuntas,1940,22556
Adjuntas,1950,22424
Adjuntas,1960,19658
Adjuntas,1970,18691
Adjuntas,1980,18786
Adjuntas,1990,19451
Adjuntas,2000,19143
Adjuntas,2010,19483
Aguada,1899,10581
Aguada,1910,11587
Aguada,1920,12981
Aguada,1930,14670
Aguada,1935,16764
Aguada,1940,17923
Aguada,1950,20743
Aguada,1960,23234
Aguada,1970,25658
Aguada,1980,31567
Aguada,1990,35911
Aguada,2000,42042
Aguada,2010,41959
Aguadilla,1899,17830
Aguadilla,1910,21419
Aguadilla,1920,24287
Aguadilla,1930,28319
Aguadilla,1935,31254
Aguadilla,1940,34956
Aguadilla,1950,44357
Aguadilla,1960,47864
Aguadilla,1970,51355
Aguadilla,1980,54606
Aguadilla,1990,59335
Aguadilla,2000,64685
Aguadilla,2010,60949
Aguas Buenas,1899,7977
Aguas Buenas,1910,8292
Aguas Buenas,1920,10741
Aguas Buenas,1930,12885
Aguas Buenas,1935,14594
Aguas Buenas,1940,14671
Aguas Buenas,1950,15565
Aguas Buenas,1960,17034
Aguas Buenas,1970,18600
Aguas Buenas,1980,22429
Aguas Buenas,1990,25424
Aguas Buenas,2000,29032
Aguas Buenas,2010,28659
Aibonito,1899,8596
Aibonito,1910,10815
Aibonito,1920,13264
Aibonito,1930,16361
Aibonito,1935,17082
Aibonito,1940,16819
Aibonito,1950,18191
Aibonito,1960,18360
Aibonito,1970,20044
Aibonito,1980,22167
Aibonito,1990,24971
Aibonito,2000,26493
Aibonito,2010,25900
Añasco,1899,13311
Añasco,1910,14407
Añasco,1920,13834
Añasco,1930,14276
Añasco,1935,15528
Añasco,1940,15701
Añasco,1950,17235
Añasco,1960,17200
Añasco,1970,19416
Añasco,1980,23274
Añasco,1990,25234
Añasco,2000,28348
Añasco,2010,29261
Arecibo,1899,36910
Arecibo,1910,42429
Arecibo,1920,46578
Arecibo,1930,56525
Arecibo,1935,63012
Arecibo,1940,69192
Arecibo,1950,75361
Arecibo,1960,69879
Arecibo,1970,73468
Arecibo,1980,86766
Arecibo,1990,93385
Arecibo,2000,100131
Arecibo,2010,96440
Arroyo,1899,4867
Arroyo,1910,6940
Arroyo,1920,7074
Arroyo,1930,8199
Arroyo,1935,9242
Arroyo,1940,10746
Arroyo,1950,12936
Arroyo,1960,13315
Arroyo,1970,13033
Arroyo,1980,17014
Arroyo,1990,18910
Arroyo,2000,19117
Arroyo,2010,19575
Barceloneta,1899,9357
Barceloneta,1910,11644
Barceloneta,1920,13442
Barceloneta,1930,15751
Barceloneta,1935,17377
Barceloneta,1940,18545
Barceloneta,1950,19897
Barceloneta,1960,19334
Barceloneta,1970,20792
Barceloneta,1980,18942
Barceloneta,1990,20947
Barceloneta,2000,22322
Barceloneta,2010,24816
Barranquitas,1899,8103
Barranquitas,1910,10503
Barranquitas,1920,11600
Barranquitas,1930,14901
Barranquitas,1935,16185
Barranquitas,1940,17096
Barranquitas,1950,17605
Barranquitas,1960,18978
Barranquitas,1970,20118
Barranquitas,1980,21639
Barranquitas,1990,25605
Barranquitas,2000,28909
Barranquitas,2010,30318
Bayamón,1899,19940
Bayamón,1910,29986
Bayamón,1920,30739
Bayamón,1930,29524
Bayamón,1935,32151
Bayamón,1940,37190
Bayamón,1950,48000
Bayamón,1960,72221
Bayamón,1970,156192
Bayamón,1980,196206
Bayamón,1990,220262
Bayamón,2000,224044
Bayamón,2010,208116
Cabo Rojo,1899,16154
Cabo Rojo,1910,19562
Cabo Rojo,1920,22412
Cabo Rojo,1930,23792
Cabo Rojo,1935,26059
Cabo Rojo,1940,28586
Cabo Rojo,1950,29546
